geneid,iDUX4_logFC,iDUX4_logCPM,iDUX4_LR,iDUX4_pval,iDUX4_fdr,hl.ratio,area,protein.length,rep,IQR,QCoD,count,mean,sd,zscore,pval
PRAMEF2,7.149715572,9.770056789,3376.980775,0,0,6.60173644,529867.5127,474,3.678571429,2.015206016,0.305253934,28,-0.004464364,0.149421909,44.211728,0
FAM46C,7.145271233,5.424619619,346.3049379,2.70E-77,1.07E-75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KDM4E,7.138906393,8.516317869,2890.797509,0,0,7.344458446,1163924.264,506,3.519480519,1.964526082,0.267484131,77,-0.003767451,0.091789347,80.05532402,0
CXCR4,7.072847781,3.669608743,93.61982595,3.82E-22,3.90E-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WI2-2994D6.2,7.058590004,8.76955545,2298.691883,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRIM43,7.050026582,12.59545733,13648.32725,0,0,8.605239224,1884067.359,446,3.512820513,5.252879522,0.610428064,39,-0.002058333,0.129074803,66.68456866,0
KHDC1L,6.9777509,10.20294715,4754.962103,0,0,6.972878203,1259034.043,128,3.458333333,2.655206389,0.380790588,24,-0.005830596,0.16127891,43.27105645,0
KHDC1L,6.9777509,10.20294715,4754.962103,0,0,6.972878203,1259034.043,128,3.458333333,2.655206389,0.380790588,24,-0.005830596,0.16127891,43.27105645,0
DUXB,6.975951161,5.649000327,404.0760086,7.14E-90,3.31E-88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRAMEF13,6.958953819,9.475378216,3242.192201,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRAMEF6,6.949687743,9.089873837,2530.996973,0,0,5.398829737,385257.1558,476,3.833333333,3.634563096,0.673213136,6,0.007988344,0.382910429,14.07859641,5.14E-45
WI2-3308P17.2,6.945478284,6.720340326,861.3249667,2.51E-189,3.21E-187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZSCAN4,6.937986919,11.08978377,8531.285213,0,0,8.314088299,1329075.352,433,3.531531532,4.403650078,0.529661211,111,4.80E-04,0.078969552,105.2761285,0
DPPA3,6.929875571,4.478399238,171.9523535,2.77E-39,5.14E-38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
