geneid,iDUX4_logFC,iDUX4_logCPM,iDUX4_LR,iDUX4_pval,iDUX4_fdr,hl.ratio,area,protein.length,rep,IQR,QCoD,count,mean,sd,zscore,pval
PRAMEF8,1.541950967,1.553528377,2.216292343,0.136560664,0.183878759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RPS6KA6,1.541376613,3.677816277,18.12880325,2.06E-05,5.82E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HIST1H2BC,1.540569053,2.409893265,6.025103295,0.014103806,0.024230638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PLS1,1.54039747,2.555826296,6.935061371,0.008452216,0.015242832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARIH1,1.537991685,7.358688162,260.1221062,1.61E-58,4.74E-57,1.01112556,369943.0547,557,3.222222222,1.571316493,1.554027072,9,-0.015928955,0.304692333,3.370792121,7.50E-04
BASP1,1.535960083,6.317757101,125.6908565,3.59E-29,4.82E-28,-0.092522169,302987.2407,227,3.454545455,1.756179394,-18.98117414,22,-3.25E-04,0.179202921,-0.514487039,0.60691152
DDX39A,1.535343166,6.299912984,124.0615962,8.17E-29,1.08E-27,0.351362362,237469.1211,427,4,5.046232214,14.36190314,4,0.003351668,0.548920892,0.633990616,0.526086947
FAM13A,1.535062283,6.389299247,132.0517878,1.46E-30,2.03E-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PITHD1,1.534995664,6.072123468,105.5922952,9.06E-25,1.01E-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZNF410,1.53422304,6.498803029,142.4668793,7.69E-33,1.15E-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MICB,1.534150773,4.538595686,34.78031987,3.69E-09,1.59E-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SUPT6H,1.533092978,8.008744529,403.8140848,8.14E-90,3.72E-88,1.826959853,546176.6328,1726,3.704545455,2.962977176,1.621807491,44,0.001651215,0.115843169,15.7567223,6.18E-56
BTAF1,1.533091983,7.021332748,204.8312811,1.84E-46,4.20E-45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KIN,1.533082232,4.914309908,45.84955151,1.28E-11,6.74E-11,0.913436942,621182.4941,393,3.333333333,0.819978151,0.897684463,3,0.018910632,0.779645425,1.147350168,0.251236927
FUBP1,1.531390053,7.822704274,355.0356355,3.39E-79,1.38E-77,0.049118727,1076430.879,644,3.554347826,1.024780055,20.86332677,92,-0.001927679,0.083011258,0.614933534,0.538598616
SLC13A4,1.531238226,2.658233508,7.554074978,0.005987452,0.011157057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GDAP2,1.529617852,4.801369335,42.02999089,8.99E-11,4.43E-10,-0.406297157,111993.5371,497,3,0,0,1,0.062071262,1.95668074,-0.23936885,0.810819582
ZNF431,1.529316885,3.851606093,20.50095371,5.96E-06,1.81E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KIAA0895,1.528004309,1.894587665,3.412617607,0.06469974,0.095116756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CIR1,1.525795144,5.58062785,73.64357863,9.36E-18,7.39E-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PPP2R5A,1.525740798,3.126805572,11.34947994,7.55E-04,0.001666958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PPP2R5A,1.525740798,3.126805572,11.34947994,7.55E-04,0.001666958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YTHDF2,1.525021986,7.290223394,244.4980196,4.11E-55,1.13E-53,-1.631802252,604504.3604,579,3.571428571,1.416677664,-0.868167489,14,0.016301063,0.231351004,-7.123821766,1.05E-12
SYNE2,1.524113511,5.87027974,90.37699311,1.97E-21,1.93E-20,3.800659789,416159.2344,6907,3.636363636,6.082847563,1.600471471,11,-0.005996376,0.255192015,14.91683099,2.56E-50
RP11-1035H13.3,1.523305765,3.009027181,10.23752791,0.001376119,0.002893397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TSC1,1.522574866,6.207473434,114.5559147,9.85E-27,1.19E-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HIST2H2AA3,1.521584491,2.687240068,7.67416867,0.005601689,0.010502529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PPP2R5E,1.519914461,6.904790325,186.1028814,2.25E-42,4.53E-41,0.335891647,378734.9707,467,3.307692308,1.630097864,4.853046751,26,-6.39E-05,0.162625386,2.065824548,0.038845049
ALKBH1,1.518621454,4.336838199,29.37565626,5.96E-08,2.27E-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DEDD2,1.518381616,4.94367096,46.06399406,1.14E-11,6.06E-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RANBP17,1.517888228,2.906571516,9.304010742,0.002286527,0.004615967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GATA6,1.517109997,2.858353299,8.907685251,0.00283973,0.005611594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
STIL,1.516553139,5.980222265,96.88031629,7.36E-23,7.70E-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DIO2,1.516508383,2.571086566,6.847047668,0.008878787,0.015955302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TET3,1.516371231,3.550252702,15.91805854,6.61E-05,1.74E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HIST1H2BN,1.514190287,1.534880685,2.089126932,0.14835083,0.197698096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MCCC1,1.512705259,5.238737289,56.73017608,5.00E-14,3.12E-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MFN1,1.512567518,6.599811238,149.1812667,2.62E-34,4.09E-33,2.634237873,521620.3359,741,3.333333333,2.116550459,0.803477347,3,0.027054779,0.659872608,3.951040036,7.78E-05
TMEM126A,1.512356293,4.766257784,40.15895203,2.34E-10,1.12E-09,0.84781659,406414.6719,195,3.571428571,1.351488068,1.594080705,7,0.002985027,0.343405876,2.460154653,0.013887716
IST1,1.509641115,7.632433619,304.0220762,4.38E-68,1.48E-66,0.207941623,556382.543,379,3.512195122,0.59243201,2.849030429,41,-0.006206975,0.123044304,1.740418624,0.081785538
IST1,1.509641115,7.632433619,304.0220762,4.38E-68,1.48E-66,0.207941623,556382.543,379,3.512195122,0.59243201,2.849030429,41,-0.006206975,0.123044304,1.740418624,0.081785538
ZNF326,1.508458502,5.677114943,77.34737262,1.43E-18,1.18E-17,0.02228087,656107.4915,582,3.384615385,1.707154362,76.61973445,26,-0.00197602,0.153191287,0.158343799,0.874185897
LLPH,1.507559605,5.00625363,47.6252912,5.16E-12,2.79E-11,0.868675833,1022344.438,129,3.428571429,1.156368909,1.331185772,7,-6.44E-04,0.350090195,2.483129807,0.013023362
NOL11,1.506944045,6.754741172,165.1498693,8.48E-38,1.49E-36,0.412464797,213568.0188,719,3.444444444,1.340026757,3.248826967,18,0.003946512,0.191084915,2.137888726,0.032525775
STRBP,1.506556109,2.908869688,9.202004179,0.002417503,0.004853774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NAALAD2,1.50603055,1.613682394,2.317477283,0.127927348,0.173524932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OTX1,1.504999747,1.523835825,2.033125322,0.153903839,0.204291926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RP9,1.504066485,3.816362879,19.37723191,1.07E-05,3.15E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRPF40A,1.503853299,7.9425567,373.2315178,3.70E-83,1.58E-81,0.289389618,1294500.77,957,3.545454545,0.533804965,1.844589206,33,-0.006220916,0.141768715,2.085160567,0.037054728
UBC,1.503421717,11.81495447,1216.200544,1.84E-266,3.85E-264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ATXN1L,1.503088797,4.259661206,27.22183956,1.81E-07,6.54E-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DDX20,1.5028099,5.453021689,65.45464021,5.95E-16,4.18E-15,-1.268993885,231213.7129,824,3.5,0.736118801,-0.580080653,2,0.060271816,1.384151098,-0.96034725,0.336880477
BOD1L1,1.502564608,7.23184643,228.7950432,1.09E-51,2.75E-50,2.55062161,112930.3398,3051,3.714285714,2.095577446,0.821594798,7,-0.00491179,0.353900692,7.221046631,5.16E-13
F3,1.502004431,5.201432069,54.54592701,1.52E-13,9.16E-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ILF2,1.501988941,8.453933606,498.0265974,2.55E-110,1.51E-108,0.191241786,1323887.844,390,3.537688442,0.873044533,4.565134807,199,0.002438246,0.057793839,3.266845414,0.00108753
SMEK1,1.50146773,6.964063328,189.82825,3.47E-43,7.16E-42,0.828127271,300525.083,833,3.666666667,0.978868712,1.182026901,12,0.008956622,0.245288431,3.339622041,8.39E-04
SMOX,1.501278807,5.546554251,69.88204484,6.30E-17,4.69E-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHMP2B,1.500581991,6.512457627,138.3759628,6.03E-32,8.79E-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COPS2,1.499998141,7.695385979,313.8593961,3.15E-70,1.11E-68,-9.22E-04,588086.9375,450,3.490196078,0.682330282,-739.8203304,51,-0.008926685,0.114385131,0.069977562,0.944211518
ZNF778,1.49934781,3.363724675,13.41600742,2.49E-04,5.96E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CPE,1.496619393,3.959701651,21.4770664,3.58E-06,1.12E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HHEX,1.4962913,2.445329587,5.929875109,0.014886297,0.025434768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRABD2A,1.495176427,1.64001104,2.373652974,0.123397997,0.168080608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DNAJC3,1.493920262,6.253426628,114.4574897,1.03E-26,1.25E-25,0.912136886,643969.1875,504,3.592592593,2.19806552,2.409797864,27,-0.004910814,0.157825021,5.810534328,6.23E-09
JUP,1.493052723,4.763681219,39.19977037,3.83E-10,1.80E-09,-5.508540829,427681.7969,745,3,1.995313097,-0.362221713,7,0.004939213,0.35735508,-15.4285761,1.05E-53
MIER3,1.491756794,5.385957246,61.57039864,4.27E-15,2.86E-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OCIAD2,1.491448444,3.035133741,10.08890531,0.001491647,0.003121186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GPR161,1.490654746,4.893246606,42.99813016,5.48E-11,2.75E-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARMC5,1.490579965,5.003336884,46.60209006,8.70E-12,4.64E-11,5.835113867,217605.7656,1030,3,0,0,1,0.032945386,1.944192433,2.984359153,0.00284173
CGNL1,1.487760605,1.598624711,2.220761359,0.136165896,0.18339019,-0.700679847,918576.252,1302,3,0,0,1,0.011326929,2.174867036,-0.327379451,0.743380907
UBB,1.486798197,10.12719627,923.7106021,6.88E-203,9.39E-201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GOPC,1.485123108,7.7503237,320.255038,1.27E-71,4.60E-70,0.048525975,321444.9746,462,3.462962963,1.10705249,22.81360637,54,-1.58E-04,0.116494207,0.417907372,0.676014842
ULK4,1.483161445,2.328899204,5.203812444,0.022537406,0.036904508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENPP2,1.480216377,1.595317913,2.190811042,0.138836193,0.186470047,-2.930800955,124354.1836,915,3,0,0,1,0.197469851,2.136320354,-1.46432664,0.143104722
HAP1,1.479725502,1.429727388,1.706293918,0.191466923,0.246207283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MPP5,1.478198506,7.148568048,209.9234781,1.43E-47,3.34E-46,-0.163337549,576126.293,675,3.428571429,1.293771948,-7.92084829,7,-0.01330193,0.37758847,-0.397352226,0.69110774
MEX3B,1.476152779,5.173281318,51.83992505,6.02E-13,3.51E-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UTP14A,1.473177509,5.474380173,64.1919263,1.13E-15,7.80E-15,-0.357858891,417554.2891,771,3.428571429,0.917018179,-2.562513332,21,2.23E-05,0.17773155,-2.01360529,0.044050991
USPL1,1.472225507,5.37934069,59.88017271,1.01E-14,6.60E-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAF,1.471535956,1.518918717,1.940004642,0.16366803,0.215348009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FBXO30,1.470449474,5.341805603,58.15954019,2.42E-14,1.54E-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
STPG1,1.469634598,2.929117587,8.970240562,0.002744125,0.005439471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GLS,1.467284827,9.095419609,687.3066401,1.72E-151,1.70E-149,0.773177451,812747.3359,598,3.510869565,0.97171128,1.256776538,184,-0.001594582,0.057138414,13.55956487,6.95E-42
ADNP2,1.466905549,5.773874783,78.93597153,6.42E-19,5.42E-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TOPORS,1.464174015,6.00309822,92.58307766,6.46E-22,6.50E-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SNRNP70,1.464151192,8.266083793,434.0473221,2.14E-96,1.07E-94,0.044193699,1048296.891,437,3.518518519,0.952176279,21.54552117,54,0.002150819,0.110473075,0.380571286,0.703521391
DIRC2,1.464112922,4.911332922,42.21878624,8.16E-11,4.04E-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FAM89A,1.463056708,1.655064844,2.332136148,0.126727865,0.172013088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UBL3,1.462721183,4.838105259,39.94153236,2.62E-10,1.25E-09,1.307600217,35996.76367,117,4,0,0,1,0.140109852,2.010607174,0.580665572,0.561465869
LUC7L2,1.461888818,3.735326376,17.29549967,3.20E-05,8.80E-05,1.176754155,363203.2891,392,3.9,2.527432466,2.147799908,30,-0.008453699,0.148102143,8.002638103,1.22E-15
LUC7L2,1.461888818,3.735326376,17.29549967,3.20E-05,8.80E-05,1.176754155,363203.2891,392,3.9,2.527432466,2.147799908,30,-0.008453699,0.148102143,8.002638103,1.22E-15
LUC7L2,1.461888818,3.735326376,17.29549967,3.20E-05,8.80E-05,1.176754155,363203.2891,392,3.9,2.527432466,2.147799908,30,-0.008453699,0.148102143,8.002638103,1.22E-15
ZNF91,1.461323263,4.436839653,29.61262013,5.28E-08,2.03E-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DOHH,1.459550033,4.477650599,30.4652382,3.40E-08,1.33E-07,-0.251495501,453975.5313,302,4,0,0,1,0.022681071,1.840099718,-0.149000932,0.881552898
PUM1,1.458987037,7.763045662,313.1490468,4.50E-70,1.58E-68,0.17107067,300548.2344,1224,3.636363636,4.461541937,26.0801102,11,-0.009926349,0.258129032,0.701188152,0.483185603
TBCC,1.457105653,4.866151385,40.49940047,1.97E-10,9.49E-10,0.270945766,458913.3242,346,3.5,0.93853065,3.463905949,8,-0.003976423,0.308852512,0.890140692,0.373390346
USP15,1.456815737,6.311706734,114.1128173,1.23E-26,1.48E-25,1.441010072,269089.3984,981,3.4,1.537582932,1.067017478,5,0.020497707,0.475579829,2.986906255,0.002818161
USP25,1.456443868,6.142498086,101.2340437,8.17E-24,8.85E-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TWISTNB,1.456226201,5.712906267,74.60573921,5.75E-18,4.58E-17,-0.723386713,273885.0664,338,3,0,0,1,-0.019982388,2.046026411,-0.343790443,0.731003888
PGBD5,1.455230181,1.452200355,1.716997835,0.190079949,0.244696227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ERN1,1.455025925,3.214182289,11.24701685,7.98E-04,0.001754842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EIF2C3,1.454609617,4.052774031,21.95411691,2.79E-06,8.89E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TMED7,1.451986501,6.296217446,112.1957667,3.24E-26,3.83E-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCP1,1.450219278,8.719162361,547.0508236,5.52E-121,3.75E-119,0.149346611,1979815.297,556,3.464985994,0.827786831,5.542722569,357,3.41E-04,0.042908498,3.472643614,5.15E-04
YTHDF3,1.449860216,7.794781014,316.4567955,8.56E-71,3.05E-69,-0.887595154,1086348.23,585,3.333333333,1.141392517,-1.285938204,21,-0.007575098,0.176990518,-4.972131083,6.62E-07
TOP1,1.448492248,8.191326221,413.7878594,5.49E-92,2.64E-90,0.727652322,1091638.285,765,3.5,0.862452035,1.185252914,128,-7.39E-04,0.075398187,9.660596166,4.43E-22
TMEM212,1.445357288,1.948001384,3.297325928,0.069392764,0.101305434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FAM46A,1.445237584,6.574396093,135.2910256,2.85E-31,4.04E-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UTP6,1.444610202,6.453161078,124.1822867,7.68E-29,1.02E-27,4.27837937,111741.0039,597,3,0,0,1,0.143482021,1.973348107,2.095371483,0.036137983
GREB1L,1.444465435,2.392775218,5.29515754,0.021384797,0.035221166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KCTD9,1.444465192,7.255931605,217.1063848,3.87E-49,9.37E-48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MRPL4,1.444376006,6.139913574,99.59033355,1.87E-23,2.00E-22,-0.099778789,1008343.754,311,3.6,1.010949929,-10.13191223,10,-0.016869853,0.263918438,-0.314146053,0.753410113
NT5DC3,1.444324026,5.66590649,71.11438649,3.37E-17,2.55E-16,0.554856418,639729.6543,548,3,0,0,1,0.051364373,1.864916315,0.269981039,0.787174841
MRPS22,1.443482455,5.717517481,73.71467381,9.03E-18,7.13E-17,0.130372794,475104.1074,360,3.333333333,1.147005621,8.797890923,12,0.008623552,0.241899599,0.503304853,0.614749955
SCN9A,1.442847109,2.231049542,4.48516549,0.034190236,0.05374141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RBM34,1.442794735,5.36632037,57.24803778,3.84E-14,2.42E-13,-0.464301151,485512.25,430,3.25,1.314989096,-2.832190042,8,-0.004880854,0.311350483,-1.475572779,0.140058617
TFAM,1.442191006,6.237144714,106.3656236,6.13E-25,6.89E-24,0.222841193,2218631.812,246,3.307692308,0.77042501,3.457282739,13,0.002773798,0.243685459,0.903079714,0.36648359
EFR3B,1.440785183,2.566280498,6.23258569,0.012542047,0.021797051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
INVS,1.440181289,4.998561024,43.71665427,3.80E-11,1.93E-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DDX47,1.439571009,6.698715589,146.5467879,9.86E-34,1.51E-32,0.98652307,930952.0039,455,3.5,0.477113935,0.483631807,16,-0.004225625,0.207456818,4.775686351,1.79E-06
FAM122C,1.439276941,3.257292658,11.43831293,7.19E-04,0.001595207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CDO1,1.438781314,1.614680877,2.141337726,0.143376819,0.191932294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRFBP1,1.438641976,4.073601875,21.87575147,2.91E-06,9.23E-06,-0.74298399,412058.4414,429,3,1.535814305,-2.067089366,4,0.047414224,0.594372014,-1.329803885,0.183582896
SHOX2,1.438154142,4.818567373,38.21759565,6.33E-10,2.92E-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MED13,1.43787689,7.127149103,196.9987037,9.44E-45,2.04E-43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NDUFAF5,1.437598047,3.892763578,19.0017461,1.31E-05,3.79E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARNTL,1.436928325,5.011497545,43.9546468,3.36E-11,1.72E-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MRPS30,1.435790504,5.067115482,45.70398751,1.38E-11,7.24E-11,-0.489117691,306552.9219,439,4,0.364732905,-0.745695589,2,0.007554975,1.513458034,-0.328170756,0.742782558
ZNF136,1.435444086,4.292671271,25.74407508,3.90E-07,1.37E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GPR125,1.43325594,6.255403866,106.5753926,5.52E-25,6.23E-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RANBP9,1.433037048,6.618113643,137.4300716,9.71E-32,1.40E-30,-0.384215544,277802.2148,729,3.384615385,0.757355851,-1.971174418,13,-0.006831136,0.233690788,-1.614887826,0.106334989
ARHGAP27,1.432860655,1.727762938,2.476596896,0.11555203,0.158776275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ORC4,1.431068557,5.691437738,71.25415449,3.14E-17,2.38E-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMN1,1.429061881,6.185248562,100.9076284,9.64E-24,1.04E-22,-0.181085884,568116.0156,294,3.4,1.265504947,-6.98842406,5,0.0219141,0.435856202,-0.465749903,0.641394528
SSX2IP,1.428784154,4.963454336,42.01389606,9.06E-11,4.47E-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AL590867.1,1.428626959,4.114761302,22.3034176,2.33E-06,7.49E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZNF300,1.426778681,3.47541373,13.47110014,2.42E-04,5.80E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CWF19L2,1.426257611,4.422194128,28.06053465,1.18E-07,4.34E-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FDX1,1.426197089,4.942735243,41.2488885,1.34E-10,6.55E-10,0.665955226,1041309.773,184,3.428571429,0.933041542,1.401057466,7,0.006509285,0.313200328,2.105508462,0.035247072
PDLIM1,1.425299763,6.163295517,98.89375252,2.66E-23,2.82E-22,0.295889559,456301.3027,329,3.515625,1.413978609,4.778737761,64,-0.003179247,0.103570861,2.88757671,0.003882219
ZDHHC14,1.42471519,2.628375525,6.477687697,0.0109237,0.019234764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RBM39,1.424554677,8.305347633,419.5838933,3.01E-93,1.47E-91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SNRK,1.424514335,5.387869401,56.85205293,4.70E-14,2.94E-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RASGRF2,1.424215847,1.623206672,2.128231428,0.14460752,0.193345551,-5.036656262,518622.832,1237,3,0,0,1,-0.017183974,1.973673482,-2.543213117,0.010983821
NDUFAF7,1.422806274,4.610761271,32.16496943,1.42E-08,5.77E-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
INPP5F,1.422715861,5.91795959,82.86546237,8.78E-20,7.83E-19,1.19740076,275173.9229,1132,4,1.270950306,1.061424336,2,0.140295099,1.424514576,0.742081323,0.458038065
C7orf31,1.421878971,1.784918756,2.628936518,0.104931976,0.145748848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HMBOX1,1.421293099,3.613813625,14.95253194,1.10E-04,2.80E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZNF675,1.420552892,3.523021705,13.88963339,1.94E-04,4.73E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C8orf76,1.419346316,4.759842506,35.75818731,2.23E-09,9.84E-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GADD45B,1.418219415,6.95547722,170.6889833,5.23E-39,9.64E-38,6.210508623,564805.4004,176,4,0,0,1,0.175353563,2.041464879,2.9562865,0.003113677
KIDINS220,1.416344203,7.187988903,200.0502701,2.04E-45,4.53E-44,-1.273188778,369267.0156,1771,3,0,0,1,0.023504268,1.808592566,-0.716962499,0.473397236
DLC1,1.415950255,8.300054757,376.0133638,9.18E-84,3.94E-82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CRABP2,1.413986851,1.941168916,3.146647559,0.076083127,0.109793472,1.253431265,158588.1221,138,4,0.604280861,0.482101315,2,0.159556656,1.535014245,0.712615283,0.476083852
SF3B4,1.41296203,7.019114577,177.2576288,1.92E-40,3.69E-39,0.262112705,687807.1973,424,3.666666667,3.464443289,13.21738023,6,0.004614496,0.398654092,0.645918892,0.518331884
FAM118A,1.411603863,3.747288041,16.42242734,5.07E-05,1.36E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CCNT1,1.410977757,6.77713196,149.3839445,2.36E-34,3.71E-33,2.80472453,68230.51465,726,3.5,0.352633996,0.125728567,2,0.066439131,1.493637211,1.833300201,0.066757939
SNRPB2,1.410143508,6.634040493,135.0541012,3.21E-31,4.54E-30,0.247053515,1139378.61,225,3.5,0.586313776,2.373225798,18,-0.023351636,0.183955777,1.4699465,0.141576244
EZH2,1.408297741,5.760062484,72.73566447,1.48E-17,1.15E-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FBXL20,1.408289721,5.098162398,45.17940563,1.80E-11,9.37E-11,-0.553304585,254939.4531,438,3,0,0,1,0.079254916,2.237340082,-0.282728364,0.777385072
DDX24,1.406951156,8.026733299,351.4848777,2.01E-78,8.15E-77,1.308982981,357161.041,859,3.451612903,1.604330409,1.225631222,31,6.24E-04,0.149292297,8.763737885,1.89E-18
APOE,1.40687642,3.052036973,9.240342627,0.002367407,0.00476421,-4.396043513,968614.1367,317,3.434782609,13.24511928,-3.012963644,46,-0.006751699,0.11957014,-36.70892917,5.26E-295
SRSF7,1.406841346,7.581903121,259.3278225,2.40E-58,7.04E-57,0.249930944,833413.3442,238,3.487804878,0.971767536,3.888144139,41,-0.00366831,0.128373212,1.975484216,0.048213224
ZNF350,1.405428458,3.817074273,17.21177528,3.34E-05,9.15E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SESTD1,1.403932289,5.780766498,73.40842001,1.05E-17,8.28E-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TAPT1,1.403772389,5.155347667,46.83053538,7.74E-12,4.14E-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GLUL,1.40275612,8.961555091,604.8836749,1.45E-133,1.19E-131,2.125803638,519848.4688,373,3.666666667,5.358878052,2.520871616,15,0.001428571,0.21556461,9.854934278,6.53E-23
CCDC12,1.395806137,4.885191998,38.07134287,6.82E-10,3.14E-09,0.186206097,799630.7808,179,3.666666667,3.08943847,16.59150009,3,0.012554716,0.653253773,0.2658253,0.790373757
H3F3A,1.395582085,7.541676353,248.7122686,4.96E-56,1.40E-54,7.811205352,955765.3806,136,4,0,0,1,0.162291175,2.01643021,3.793294773,1.49E-04
RLIM,1.394585798,7.058533691,177.9520413,1.36E-40,2.61E-39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZBTB11,1.391681595,6.215003867,98.31084674,3.58E-23,3.77E-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GPBP1,1.391217416,6.834038516,151.5811828,7.82E-35,1.25E-33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
