ensembl_transcript_id	molecule	timepoint	replicate	count
ENST00000473578.5_52_292	rna	0h	rep2	26
ENST00000473578.5_52_292	rna	0h	rep3	24.5
ENST00000473578.5_52_292	rna	14h	rep1	22.5
ENST00000473578.5_52_292	rna	14h	rep2	12.5
ENST00000473578.5_52_292	rna	14h	rep3	23
ENST00000557126.5_41_344	rna	0h	rep1	20
ENST00000557126.5_41_344	rna	0h	rep2	19
ENST00000557126.5_41_344	rna	0h	rep3	16.5
ENST00000557126.5_41_344	rna	14h	rep1	27.5
ENST00000557126.5_41_344	rna	14h	rep2	12.5
ENST00000557126.5_41_344	rna	14h	rep3	18
ENST00000054666.10_116_416	rna	0h	rep1	151
ENST00000054666.10_116_416	rna	0h	rep2	153
ENST00000054666.10_116_416	rna	0h	rep3	143
ENST00000054666.10_116_416	rna	14h	rep1	108
ENST00000054666.10_116_416	rna	14h	rep2	68
ENST00000054666.10_116_416	rna	14h	rep3	105
ENST00000614998.4_2656_3838	rna	0h	rep1	30
ENST00000614998.4_2656_3838	rna	0h	rep2	31.5
ENST00000614998.4_2656_3838	rna	0h	rep3	35
ENST00000614998.4_2656_3838	rna	14h	rep1	19
ENST00000614998.4_2656_3838	rna	14h	rep2	15
ENST00000614998.4_2656_3838	rna	14h	rep3	16.5
ENST00000613533.4_2889_3102	rna	0h	rep1	5.5
ENST00000613533.4_2889_3102	rna	0h	rep2	7.5
ENST00000613533.4_2889_3102	rna	0h	rep3	8.5
ENST00000613533.4_2889_3102	rna	14h	rep1	3
ENST00000613533.4_2889_3102	rna	14h	rep2	3.5
ENST00000613533.4_2889_3102	rna	14h	rep3	4.5
ENST00000613533.4_3373_3895	rna	0h	rep1	12.5
ENST00000613533.4_3373_3895	rna	0h	rep2	19
ENST00000613533.4_3373_3895	rna	0h	rep3	11.5
ENST00000613533.4_3373_3895	rna	14h	rep1	13
ENST00000613533.4_3373_3895	rna	14h	rep2	6.5
ENST00000613533.4_3373_3895	rna	14h	rep3	8
ENST00000054668.5_220_418	rna	0h	rep1	0
ENST00000054668.5_220_418	rna	0h	rep2	0
ENST00000054668.5_220_418	rna	0h	rep3	0
ENST00000054668.5_220_418	rna	14h	rep1	7
ENST00000054668.5_220_418	rna	14h	rep2	10.5
ENST00000054668.5_220_418	rna	14h	rep3	5
ENST00000361696.9_33_405	rna	0h	rep1	0
ENST00000361696.9_33_405	rna	0h	rep2	0
ENST00000361696.9_33_405	rna	0h	rep3	0
ENST00000361696.9_33_405	rna	14h	rep1	10
ENST00000361696.9_33_405	rna	14h	rep2	14.5
ENST00000361696.9_33_405	rna	14h	rep3	6
ENST00000493678.5_68_635	rna	0h	rep1	589
ENST00000493678.5_68_635	rna	0h	rep2	706
ENST00000493678.5_68_635	rna	0h	rep3	739
ENST00000493678.5_68_635	rna	14h	rep1	562
ENST00000493678.5_68_635	rna	14h	rep2	487
ENST00000493678.5_68_635	rna	14h	rep3	558
ENST00000377482.9_300_1611	rna	0h	rep1	1311
ENST00000377482.9_300_1611	rna	0h	rep2	1377
ENST00000377482.9_300_1611	rna	0h	rep3	1244
ENST00000377482.9_300_1611	rna	14h	rep1	1396
ENST00000377482.9_300_1611	rna	14h	rep2	1116
ENST00000377482.9_300_1611	rna	14h	rep3	1177
ENST00000377482.9_64_91	rna	0h	rep1	4
ENST00000377482.9_64_91	rna	0h	rep2	4
ENST00000377482.9_64_91	rna	0h	rep3	10
ENST00000377482.9_64_91	rna	14h	rep1	3
ENST00000377482.9_64_91	rna	14h	rep2	1
ENST00000377482.9_64_91	rna	14h	rep3	9
ENST00000337907.7_636_5334	rna	0h	rep1	73.5
ENST00000337907.7_636_5334	rna	0h	rep2	70.5
ENST00000337907.7_636_5334	rna	0h	rep3	63.5
ENST00000337907.7_636_5334	rna	14h	rep1	84
ENST00000337907.7_636_5334	rna	14h	rep2	75
ENST00000337907.7_636_5334	rna	14h	rep3	90
ENST00000476556.5_644_3602	rna	0h	rep1	32.5
ENST00000476556.5_644_3602	rna	0h	rep2	41.5
ENST00000476556.5_644_3602	rna	0h	rep3	35.5
ENST00000476556.5_644_3602	rna	14h	rep1	36
ENST00000476556.5_644_3602	rna	14h	rep2	31
ENST00000476556.5_644_3602	rna	14h	rep3	43
ENST00000234590.8_121_1423	rna	0h	rep1	9802
ENST00000234590.8_121_1423	rna	0h	rep2	11144
ENST00000234590.8_121_1423	rna	0h	rep3	10619
ENST00000234590.8_121_1423	rna	14h	rep1	5292
ENST00000234590.8_121_1423	rna	14h	rep2	5090
ENST00000234590.8_121_1423	rna	14h	rep3	6012
ENST00000377424.8_622_1684	rna	0h	rep1	1
ENST00000377424.8_622_1684	rna	0h	rep2	1
ENST00000377424.8_622_1684	rna	0h	rep3	1
ENST00000377424.8_622_1684	rna	14h	rep1	2
ENST00000377424.8_622_1684	rna	14h	rep2	0
ENST00000377424.8_622_1684	rna	14h	rep3	3
ENST00000377403.6_312_2676	rna	0h	rep1	363
ENST00000377403.6_312_2676	rna	0h	rep2	425
ENST00000377403.6_312_2676	rna	0h	rep3	415
ENST00000377403.6_312_2676	rna	14h	rep1	92
ENST00000377403.6_312_2676	rna	14h	rep2	57
ENST00000377403.6_312_2676	rna	14h	rep3	98
ENST00000328089.10_468_1161	rna	0h	rep1	86
ENST00000328089.10_468_1161	rna	0h	rep2	117
ENST00000328089.10_468_1161	rna	0h	rep3	114
ENST00000328089.10_468_1161	rna	14h	rep1	10
ENST00000328089.10_468_1161	rna	14h	rep2	10
ENST00000328089.10_468_1161	rna	14h	rep3	9
ENST00000340305.9_142_1186	rna	0h	rep1	11
ENST00000340305.9_142_1186	rna	0h	rep2	9
ENST00000340305.9_142_1186	rna	0h	rep3	10
ENST00000340305.9_142_1186	rna	14h	rep1	2.5
ENST00000340305.9_142_1186	rna	14h	rep2	5
ENST00000340305.9_142_1186	rna	14h	rep3	3.5
