ensembl_transcript_id	molecule	timepoint	replicate	count
ENST00000400930.8_169_994	rna	14h	rep3	9.33
ENST00000347370.6_190_322	rna	0h	rep1	1.33
ENST00000347370.6_190_322	rna	0h	rep2	2.83
ENST00000347370.6_190_322	rna	0h	rep3	4.83
ENST00000347370.6_190_322	rna	14h	rep1	1
ENST00000347370.6_190_322	rna	14h	rep2	2.25
ENST00000347370.6_190_322	rna	14h	rep3	1.33
ENST00000354700.9_330_2706	rna	0h	rep1	61
ENST00000354700.9_330_2706	rna	0h	rep2	84
ENST00000354700.9_330_2706	rna	0h	rep3	82
ENST00000354700.9_330_2706	rna	14h	rep1	11
ENST00000354700.9_330_2706	rna	14h	rep2	8
ENST00000354700.9_330_2706	rna	14h	rep3	9
ENST00000379031.9_78_987	rna	0h	rep1	42
ENST00000379031.9_78_987	rna	0h	rep2	55
ENST00000379031.9_78_987	rna	0h	rep3	46
ENST00000379031.9_78_987	rna	14h	rep1	10
ENST00000379031.9_78_987	rna	14h	rep2	4
ENST00000379031.9_78_987	rna	14h	rep3	7
ENST00000419704.5_46_1543	rna	0h	rep1	21.15
ENST00000419704.5_46_1543	rna	0h	rep2	34.35
ENST00000419704.5_46_1543	rna	0h	rep3	31
ENST00000419704.5_46_1543	rna	14h	rep1	9.95
ENST00000419704.5_46_1543	rna	14h	rep2	10.5
ENST00000419704.5_46_1543	rna	14h	rep3	11.75
ENST00000435064.5_84_1884	rna	0h	rep1	32.82
ENST00000435064.5_84_1884	rna	0h	rep2	51.02
ENST00000435064.5_84_1884	rna	0h	rep3	45.67
ENST00000435064.5_84_1884	rna	14h	rep1	14.95
ENST00000435064.5_84_1884	rna	14h	rep2	16.83
ENST00000435064.5_84_1884	rna	14h	rep3	20.08
ENST00000540437.5_535_2353	rna	0h	rep1	32.82
ENST00000540437.5_535_2353	rna	0h	rep2	51.02
ENST00000540437.5_535_2353	rna	0h	rep3	45.67
ENST00000540437.5_535_2353	rna	14h	rep1	14.95
ENST00000540437.5_535_2353	rna	14h	rep2	16.83
ENST00000540437.5_535_2353	rna	14h	rep3	20.08
ENST00000545578.5_274_1987	rna	0h	rep1	32.82
ENST00000545578.5_274_1987	rna	0h	rep2	51.02
ENST00000545578.5_274_1987	rna	0h	rep3	45.67
ENST00000545578.5_274_1987	rna	14h	rep1	14.95
ENST00000545578.5_274_1987	rna	14h	rep2	16.83
ENST00000545578.5_274_1987	rna	14h	rep3	20.08
ENST00000620829.4_80_1586	rna	0h	rep1	20.4
ENST00000620829.4_80_1586	rna	0h	rep2	30.6
ENST00000620829.4_80_1586	rna	0h	rep3	29
ENST00000620829.4_80_1586	rna	14h	rep1	10.2
ENST00000620829.4_80_1586	rna	14h	rep2	10
ENST00000620829.4_80_1586	rna	14h	rep3	11
ENST00000343938.8_412_1054	rna	0h	rep1	23
ENST00000343938.8_412_1054	rna	0h	rep2	41
ENST00000343938.8_412_1054	rna	0h	rep3	48
ENST00000343938.8_412_1054	rna	14h	rep1	8
ENST00000343938.8_412_1054	rna	14h	rep2	3
ENST00000343938.8_412_1054	rna	14h	rep3	9
ENST00000378888.9_1183_2371	rna	0h	rep1	81.5
ENST00000378888.9_1183_2371	rna	0h	rep2	74.5
ENST00000378888.9_1183_2371	rna	0h	rep3	74
ENST00000378888.9_1183_2371	rna	14h	rep1	6.5
ENST00000378888.9_1183_2371	rna	14h	rep2	3.5
ENST00000378888.9_1183_2371	rna	14h	rep3	5.5
ENST00000378891.9_945_2058	rna	0h	rep1	80.5
ENST00000378891.9_945_2058	rna	0h	rep2	74.5
ENST00000378891.9_945_2058	rna	0h	rep3	74
ENST00000378891.9_945_2058	rna	14h	rep1	6.5
ENST00000378891.9_945_2058	rna	14h	rep2	3.5
ENST00000378891.9_945_2058	rna	14h	rep3	5.5
ENST00000445648.5_40_1390	rna	0h	rep1	108.75
ENST00000445648.5_40_1390	rna	0h	rep2	138.33
ENST00000445648.5_40_1390	rna	0h	rep3	114.92
ENST00000445648.5_40_1390	rna	14h	rep1	18.92
ENST00000445648.5_40_1390	rna	14h	rep2	19.42
ENST00000445648.5_40_1390	rna	14h	rep3	22
ENST00000309212.10_32_1358	rna	0h	rep1	87.08
ENST00000309212.10_32_1358	rna	0h	rep2	117.33
ENST00000309212.10_32_1358	rna	0h	rep3	88.58
ENST00000309212.10_32_1358	rna	14h	rep1	16.92
ENST00000309212.10_32_1358	rna	14h	rep2	12.42
ENST00000309212.10_32_1358	rna	14h	rep3	18
ENST00000342753.8_291_1314	rna	0h	rep1	78.08
ENST00000342753.8_291_1314	rna	0h	rep2	101
ENST00000342753.8_291_1314	rna	0h	rep3	78.25
ENST00000342753.8_291_1314	rna	14h	rep1	14.25
ENST00000342753.8_291_1314	rna	14h	rep2	9.75
ENST00000342753.8_291_1314	rna	14h	rep3	15
ENST00000477278.3_515_1814	rna	0h	rep1	87.08
ENST00000477278.3_515_1814	rna	0h	rep2	117.33
ENST00000477278.3_515_1814	rna	0h	rep3	88.25
ENST00000477278.3_515_1814	rna	14h	rep1	16.92
ENST00000477278.3_515_1814	rna	14h	rep2	12.42
ENST00000477278.3_515_1814	rna	14h	rep3	18
ENST00000338370.7_402_999	rna	0h	rep1	273
ENST00000338370.7_402_999	rna	0h	rep2	332
ENST00000338370.7_402_999	rna	0h	rep3	344
ENST00000338370.7_402_999	rna	14h	rep1	112
ENST00000338370.7_402_999	rna	14h	rep2	99
ENST00000338370.7_402_999	rna	14h	rep3	160
ENST00000400809.7_379_1567	rna	0h	rep1	60.5
ENST00000400809.7_379_1567	rna	0h	rep2	52
ENST00000400809.7_379_1567	rna	0h	rep3	63
ENST00000400809.7_379_1567	rna	14h	rep1	91.5
ENST00000400809.7_379_1567	rna	14h	rep2	86
ENST00000400809.7_379_1567	rna	14h	rep3	106.5
ENST00000408918.8_384_690	rna	0h	rep1	10.5
ENST00000408918.8_384_690	rna	0h	rep2	13
ENST00000408918.8_384_690	rna	0h	rep3	10
ENST00000408918.8_384_690	rna	14h	rep1	13.5
ENST00000408918.8_384_690	rna	14h	rep2	14
ENST00000408918.8_384_690	rna	14h	rep3	27.5
ENST00000344843.11_97_544	rna	0h	rep1	200
ENST00000344843.11_97_544	rna	0h	rep2	189
ENST00000344843.11_97_544	rna	0h	rep3	183
ENST00000344843.11_97_544	rna	14h	rep1	106
ENST00000344843.11_97_544	rna	14h	rep2	97
ENST00000344843.11_97_544	rna	14h	rep3	134
ENST00000476993.1_184_1414	rna	0h	rep1	12.5
ENST00000476993.1_184_1414	rna	0h	rep2	16
ENST00000476993.1_184_1414	rna	0h	rep3	22
ENST00000476993.1_184_1414	rna	14h	rep1	11
ENST00000476993.1_184_1414	rna	14h	rep2	5
ENST00000476993.1_184_1414	rna	14h	rep3	6.5
ENST00000338660.5_468_1167	rna	0h	rep1	5.5
ENST00000338660.5_468_1167	rna	0h	rep2	4
ENST00000338660.5_468_1167	rna	0h	rep3	9
ENST00000338660.5_468_1167	rna	14h	rep1	4
ENST00000338660.5_468_1167	rna	14h	rep2	3
ENST00000338660.5_468_1167	rna	14h	rep3	3.5
ENST00000291386.3_370_895	rna	0h	rep1	148
ENST00000291386.3_370_895	rna	0h	rep2	181
ENST00000291386.3_370_895	rna	0h	rep3	152
ENST00000291386.3_370_895	rna	14h	rep1	91
ENST00000291386.3_370_895	rna	14h	rep2	109
ENST00000291386.3_370_895	rna	14h	rep3	124
ENST00000505820.6_189_3228	rna	0h	rep1	11.3
ENST00000505820.6_189_3228	rna	0h	rep2	17.17
ENST00000505820.6_189_3228	rna	0h	rep3	13.52
ENST00000505820.6_189_3228	rna	14h	rep1	8.1
ENST00000505820.6_189_3228	rna	14h	rep2	6.1
ENST00000505820.6_189_3228	rna	14h	rep3	7.9
ENST00000518681.5_195_3039	rna	0h	rep1	10.63
ENST00000518681.5_195_3039	rna	0h	rep2	15.17
ENST00000518681.5_195_3039	rna	0h	rep3	12.52
ENST00000518681.5_195_3039	rna	14h	rep1	8.1
ENST00000518681.5_195_3039	rna	14h	rep2	5.77
ENST00000518681.5_195_3039	rna	14h	rep3	6.9
ENST00000520777.5_217_3244	rna	0h	rep1	11.3
ENST00000520777.5_217_3244	rna	0h	rep2	17.17
ENST00000520777.5_217_3244	rna	0h	rep3	13.52
ENST00000520777.5_217_3244	rna	14h	rep1	8.1
ENST00000520777.5_217_3244	rna	14h	rep2	6.1
ENST00000520777.5_217_3244	rna	14h	rep3	7.9
ENST00000378712.5_326_2585	rna	0h	rep1	7.05
ENST00000378712.5_326_2585	rna	0h	rep2	11.5
ENST00000378712.5_326_2585	rna	0h	rep3	9.1
ENST00000378712.5_326_2585	rna	14h	rep1	6.6
ENST00000378712.5_326_2585	rna	14h	rep2	3.85
ENST00000378712.5_326_2585	rna	14h	rep3	4.4
ENST00000355826.9_379_3208	rna	0h	rep1	10.72
ENST00000355826.9_379_3208	rna	0h	rep2	16
ENST00000355826.9_379_3208	rna	0h	rep3	12.35
ENST00000355826.9_379_3208	rna	14h	rep1	8.1
ENST00000355826.9_379_3208	rna	14h	rep2	5.18
ENST00000355826.9_379_3208	rna	14h	rep3	6.9
ENST00000341426.9_250_1561	rna	0h	rep1	55.5
ENST00000341426.9_250_1561	rna	0h	rep2	72.67
ENST00000341426.9_250_1561	rna	0h	rep3	58
ENST00000341426.9_250_1561	rna	14h	rep1	17.67
ENST00000341426.9_250_1561	rna	14h	rep2	11.17
ENST00000341426.9_250_1561	rna	14h	rep3	19.17
ENST00000342348.9_348_1287	rna	0h	rep1	38
ENST00000342348.9_348_1287	rna	0h	rep2	45.67
ENST00000342348.9_348_1287	rna	0h	rep3	39
ENST00000342348.9_348_1287	rna	14h	rep1	10.67
ENST00000342348.9_348_1287	rna	14h	rep2	8.67
ENST00000342348.9_348_1287	rna	14h	rep3	13.67
ENST00000378625.5_233_1979	rna	0h	rep1	55.5
ENST00000378625.5_233_1979	rna	0h	rep2	72.67
ENST00000378625.5_233_1979	rna	0h	rep3	59
ENST00000378625.5_233_1979	rna	14h	rep1	17.67
ENST00000378625.5_233_1979	rna	14h	rep2	11.17
ENST00000378625.5_233_1979	rna	14h	rep3	20.17
ENST00000610897.4_345_1365	rna	0h	rep1	326
ENST00000610897.4_345_1365	rna	0h	rep2	302.5
ENST00000610897.4_345_1365	rna	0h	rep3	336.5
ENST00000610897.4_345_1365	rna	14h	rep1	180.5
ENST00000610897.4_345_1365	rna	14h	rep2	195.5
ENST00000610897.4_345_1365	rna	14h	rep3	210.5
ENST00000615252.4_548_1268	rna	0h	rep1	171
ENST00000615252.4_548_1268	rna	0h	rep2	175.5
ENST00000615252.4_548_1268	rna	0h	rep3	187.5
ENST00000615252.4_548_1268	rna	14h	rep1	95.5
ENST00000615252.4_548_1268	rna	14h	rep2	96.5
ENST00000615252.4_548_1268	rna	14h	rep3	108.5
ENST00000378609.8_248_278	rna	0h	rep1	5
ENST00000378609.8_248_278	rna	0h	rep2	3
ENST00000378609.8_248_278	rna	0h	rep3	3
ENST00000378609.8_248_278	rna	14h	rep1	0
ENST00000378609.8_248_278	rna	14h	rep2	0
ENST00000378609.8_248_278	rna	14h	rep3	5
ENST00000400918.7_3_513	rna	0h	rep1	11
ENST00000400918.7_3_513	rna	0h	rep2	24.5
ENST00000400918.7_3_513	rna	0h	rep3	13
ENST00000400918.7_3_513	rna	14h	rep1	2.5
ENST00000400918.7_3_513	rna	14h	rep2	4
ENST00000400918.7_3_513	rna	14h	rep3	1.5
ENST00000378546.8_26_566	rna	0h	rep1	10
ENST00000378546.8_26_566	rna	0h	rep2	29.5
ENST00000378546.8_26_566	rna	0h	rep3	25
ENST00000378546.8_26_566	rna	14h	rep1	3.5
ENST00000378546.8_26_566	rna	14h	rep2	4
ENST00000378546.8_26_566	rna	14h	rep3	3.5
ENST00000378536.4_157_2257	rna	0h	rep1	129
ENST00000378536.4_157_2257	rna	0h	rep2	169
ENST00000378536.4_157_2257	rna	0h	rep3	153
ENST00000378536.4_157_2257	rna	14h	rep1	53
ENST00000378536.4_157_2257	rna	14h	rep2	46
ENST00000378536.4_157_2257	rna	14h	rep3	70
ENST00000378531.7_175_1666	rna	0h	rep1	10
ENST00000378531.7_175_1666	rna	0h	rep2	5
ENST00000378531.7_175_1666	rna	0h	rep3	7.5
ENST00000378531.7_175_1666	rna	14h	rep1	0.5
ENST00000378531.7_175_1666	rna	14h	rep2	1
ENST00000378531.7_175_1666	rna	14h	rep3	0.5
ENST00000378529.7_175_1225	rna	0h	rep1	10
ENST00000378529.7_175_1225	rna	0h	rep2	5
ENST00000378529.7_175_1225	rna	0h	rep3	6.5
ENST00000378529.7_175_1225	rna	14h	rep1	0.5
ENST00000378529.7_175_1225	rna	14h	rep2	1
ENST00000378529.7_175_1225	rna	14h	rep3	0.5
ENST00000605895.5_134_722	rna	0h	rep1	255
ENST00000605895.5_134_722	rna	0h	rep2	271
ENST00000605895.5_134_722	rna	0h	rep3	258
ENST00000605895.5_134_722	rna	14h	rep1	186
ENST00000605895.5_134_722	rna	14h	rep2	141
ENST00000605895.5_134_722	rna	14h	rep3	163
ENST00000288774.7_29_1067	rna	0h	rep1	23.5
ENST00000288774.7_29_1067	rna	0h	rep2	30.5
ENST00000288774.7_29_1067	rna	0h	rep3	25.5
