Cell_Rg	Cell_Len	Cell_Type
2.44192693490345	4.14311056390966	Fibroblasts
2.83271442404777	6.64848690174805	Fibroblasts
3.08516918471117	7.82264183411317	Fibroblasts
3.24385737872344	7.99785381563757	Fibroblasts
3.35973682071543	7.44826126569087	Fibroblasts
3.43474782253581	7.80007825746831	Fibroblasts
3.51617806140949	6.79978839915515	Fibroblasts
3.60660692811976	6.87531236586489	Fibroblasts
3.67811220955991	7.85410685689759	Fibroblasts
3.70003329528091	5.87885137482597	Fibroblasts
3.78451124213889	6.68793164391787	Fibroblasts
3.81805791823627	7.67583097159324	Fibroblasts
3.8516647784211	6.33011053715715	Fibroblasts
3.9482167801537	5.76288983746774	Fibroblasts
3.99315907751831	7.18627611034205	Fibroblasts
4.06070591350241	6.72359319682746	Fibroblasts
4.09313751729045	7.22304398204453	Fibroblasts
4.11554662088705	7.07617967302755	Fibroblasts
4.14255009130636	7.40727501025167	Fibroblasts
4.17560386236566	6.65986467488979	Fibroblasts
4.20916111085266	6.72806356051405	Fibroblasts
4.22742369871099	6.88867133676125	Fibroblasts
4.28816957009418	5.85560618404881	Fibroblasts
4.29311918105297	7.25893342165546	Fibroblasts
4.34277060505576	6.59349352232699	Fibroblasts
4.3972533275762	6.56242363739415	Fibroblasts
4.41669268820216	6.54996160916506	Fibroblasts
4.46114586420678	7.71419887737745	Fibroblasts
4.50391858587742	7.20873949933939	Fibroblasts
4.51459293204726	8.82235255200461	Fibroblasts
4.54068489663028	6.30109821973235	Fibroblasts
4.60149992811978	7.01234892314288	Fibroblasts
4.60523213639138	7.28110422815839	Fibroblasts
4.5752832948872	6.44140049011603	Fibroblasts
4.65207350432031	5.81951247268192	Fibroblasts
4.67122613434144	6.31850577544831	Fibroblasts
4.65769564774692	8.19215591690219	Fibroblasts
4.68250147506637	6.61054576631282	Fibroblasts
4.76787428049418	7.94761039366672	Fibroblasts
4.74601366247059	6.55396013375042	Fibroblasts
4.7619591619969	7.53001339488734	Fibroblasts
4.81180223410111	6.76200578765098	Fibroblasts
4.88135266742121	7.14506212772951	Fibroblasts
4.88480234995956	9.32259070075229	Fibroblasts
4.94164743567297	6.29010880259981	Fibroblasts
4.90139790020336	6.93533829474677	Fibroblasts
4.94563182075096	6.43956738848408	Fibroblasts
4.97800590772968	7.18117860235273	Fibroblasts
5.02902378977654	5.10152237463322	Fibroblasts
4.99974579938273	7.56350726313909	Fibroblasts
5.0917055889016	8.04555595468473	Fibroblasts
5.04370247265515	5.37051640580839	Fibroblasts
5.08218531339122	5.69041380832422	Fibroblasts
5.11992755174708	6.42960891192616	Fibroblasts
5.20614918222374	8.44004035720537	Fibroblasts
5.16543108162824	8.85769195670591	Fibroblasts
5.17224477510818	8.71021107754726	Fibroblasts
5.21986294639825	6.39781841568156	Fibroblasts
5.27827089899044	7.59032996432567	Fibroblasts
5.26872986867038	6.57796564407232	Fibroblasts
5.29007736442902	6.52606215871568	Fibroblasts
5.35470066233365	7.58498685489114	Fibroblasts
5.32818550444521	7.39591487657722	Fibroblasts
5.38946172503831	6.34720718197103	Fibroblasts
5.38227462407663	7.26872711409839	Fibroblasts
5.45807350751473	8.51536344454642	Fibroblasts
5.52864649656373	6.96673605515485	Fibroblasts
5.49716929895447	7.85122268901679	Fibroblasts
5.49554451498	6.04199632458933	Fibroblasts
5.52871854876176	6.22474386648522	Fibroblasts
5.62785189408214	7.72901155411471	Fibroblasts
5.67703911128652	6.7858922889323	Fibroblasts
5.67628787562871	6.49189976106421	Fibroblasts
5.71052659989803	4.63598053648456	Fibroblasts
5.76998908862585	7.92936694299434	Fibroblasts
5.75829378787967	6.61243753677639	Fibroblasts
5.75774507181017	6.465560365072	Fibroblasts
5.86065858142585	6.98812065758117	Fibroblasts
5.83762410893274	9.97495824229367	Fibroblasts
